FILE NAME        SIZE   DESCRIPTION
pp_roman.f16     4096   Like cp437.f16. Different diactricts.
pp_sser.f16      4096   A little better than sanserif.f16
readabl7.f16     4096   Farah's easy to read font for 16x8 grid
readabl8.f16     4096   Farah's easy to read font for 16x9 grid
roman.f16        4096   Latin should be written using this font 
russian.f16      4096   Russian font; chars 128-175, 224-239
sanserif.f16     4096   Modern slim characters font height 16
scrwl---.f16     4096   Addam's family font. Straight block char
scrwl~~~.f16     4096   Addam's family font. Wiggledblock chars 
spranto1.f16     4096   Esperanto font (skewed) at height 16
spranto2.f16     4096   Esperanto font (non-skewed) at height 16
standard.f16     4096   Rom like font. Includes o/ and O/ chars 
subsup.f16       4096   Block chars + hex code for non-ascii  
super.f16        4096   Font with superscript characters
swiss.f16        4096   Helevetica like font; anon-ascii    
swiss-av.f16     4096   Helevetica like font; improved A and V 
swissav2.f16     4096   Minor variations on swissav2.f16
swissbox.f16     4096   Helevetica like font incl block chars  
swissbx2.f16     4096   Minor variations on SwissBox.f16
tex-math.f16     4096   La/TeX font: math, symbols, greek, etc.
thin_ss.f16      4096   Lothar Bongartz: Thin sanserif font
vga-rom.f16      4096   VGA builtin font at height 16      
voynich.f16      4096   For the undeciphered medieval manuscipt
wiggly.f16       4096   Curved letters font at height 16    
cp111.f19        4864   Greek code page at height 19
cp112.f19        4864   Turkish code page at height 19
cp113.f19        4864   Yugoslavian code page at height 19
cp437.f19        4864   United States code page at height 19
cp850.f19        4864   Multilingual code page at height 19
cp851.f19        4864   Greek code page at height 19
cp852.f19        4864   Slavic/LATIN II code page at height 19
cp853.f19        4864   Turkish/LATIN II code page at height 19
cp860.f19        4864   Portuguese code page at height 19
cp861.f19        4864   Icelandic code page at height 19
cp863.f19        4864   French-Candadian code page at height 19
cp865.f19        4864   Nordic code page at height 19
pc.f24           6144   Bongartz's Very large (tall) font. 80x16
yogiprog.inf     6884   List of PD & Other programs by Yossi Gil
_desc.btm       22163   Create 4DOS desc. for FNTCOL16 distrib.
================================================================
Total:        1128275 bytes in 302 files
